朝阳公园酒仙桥南十里居小三居室，低楼层，仅有契税,342万,单价53944元/平米
世华泊郡 2室1厅 549万,549万,单价64505元/平米
满五年公房 南北通透 中间楼层 精装修 观景人定湖公园,860万,单价142385元/平米
三环边，南北精装两居，明厨明卫，诚意出售,328万,单价55688元/平米
满五年唯一，三层南向开间，首付80万安家北京,210万,单价51308元/平米
精装修+中间楼层+不临街+满五年，南北通透,390万,单价64261元/平米
美景东方朝东一居，总价低。观小区花园,300万,单价69189元/平米
宝盛里，中间层，带电梯，南北向，两居室，业主诚售,472万,单价61379元/平米
海特花园小区 2室1厅 368万,368万,单价53295元/平米
（聚焦热推好房）柏林爱乐全南向大一居 满五年唯一,410万,单价59881元/平米
甘露园南里 2室1厅 315万,315万,单价53147元/平米
六号线草房站 龙湖长楹天街 常营体育公园 看房随时,280万,单价39487元/平米
双龙西区 南北通透 有车位 中间层 满五年且一套房,339万,单价59600元/平米
甜水园东里  双南两居室 明厨明卫明厅,368万,单价65715元/平米
朝阳公园南门，中间层南北通透2居室，周边配套齐全,345万,单价61751元/平米
前后不临街观湖三居，单价底，无抵押，无户口,1180万,单价62554元/平米
满五年唯一 商品房 电梯两居 自住精装,345万,单价39429元/平米
古城北路 南向正规一居室 格局方正,205万,单价55874元/平米
新龙城 2室2厅 470万,470万,单价44989元/平米
全明格局 仅契税 业主诚售 看房方便,700万,单价76646元/平米
三环方庄桥方安苑精装2居高楼层 大客厅落地飘窗大阳台,492万,单价54685元/平米
保利香槟花园 3室1厅 1150万,1150万,单价102405元/平米
满五年唯一公房，东西通透，五路通，前后无遮挡,730万,单价126080元/平米
小马厂南里 2室1厅 600万,600万,单价97229元/平米
南北通透三居室 近地铁 央产房 无遮挡 满五年,830万,单价86984元/平米
圣淘沙 2室1厅 480万,480万,单价55173元/平米
晨光家园  东南两居  格局方正  随时签约,490万,单价57927元/平米
商品房满五年唯一  小区中间位置  采光好,405万,单价47964元/平米
钢筋结构，2层，满五年唯一，全南向两居,335万,单价59983元/平米
双榆树东里 2室1厅 585万,585万,单价108134元/平米
精装南北三居，远离京开，满两年,420万,单价40853元/平米
精装修南北通透满五年唯一一居室,239万,单价40509元/平米
业主诚售 户型方正 观花园 原值467万,788万,单价80147元/平米
南北双通透两居室 全明格局精装修 业主自住看房方便,235万,单价27864元/平米
磨房北里 朝南两居室 小区环境好,375万,单价63324元/平米
首开畅心园 东向精装修两居室 户型方正,280万,单价40410元/平米
甘露家园 2室1厅 323万,323万,单价53915元/平米
炫特嘉园东向开间，总价低，满五唯一,258万,单价73568元/平米
东直门 东直门内大街 南北复式三居 满五年 带电梯,1080万,单价110250元/平米
双榆树 中间层 精装总价低一居室 业主变现 诚意出售,390万,单价95239元/平米
带露台 灵通观 正规东南三居室 中间楼层 东二环,610万,单价80635元/平米
翠成馨园东西向正规一居，位置好，楼层好。,350万,单价51661元/平米
观音寺南里 2室1厅 238万,238万,单价33569元/平米
电梯小两居，满五年唯一公房，次顶层，东南向，采光好,495万,单价78447元/平米
育新花园二期带电梯西南朝向两居室,575万,单价66359元/平米
角门东里好房 中间层2居室 南北通透,320万,单价57762元/平米
满五年唯一住房，随时签约，落地窗设计.,458万,单价57086元/平米
柳岸方园 精装南向一居 采光充足,328万,单价58645元/平米
潘家园南里 3室1厅 520万,520万,单价60241元/平米
CBD传奇观花园南北通透两居室，满五年唯一住房！,650万,单价74687元/平米
东直门精装一居室   钥匙房源看房随时,415万,单价103932元/平米
